student_id,date,age,gender,country,grade,mood,stress_level,sleep_hours,screen_time_hours,used_ai_today,ai_tool,journaled_today,meditated_today,exercised_today,social_interaction_rating,support_feeling
S0001,2025-01-01,15,Female,USA,11th,5,5,3.6,2.1,False,None,False,False,True,6,7
S0001,2025-01-02,15,Female,USA,11th,6,4,9.1,8.8,True,Phind,True,False,True,4,7
S0001,2025-01-03,15,Female,USA,11th,8,2,8.5,7.8,True,Notion AI,False,True,False,6,5
S0001,2025-01-04,15,Female,USA,11th,5,6,4.9,6.1,False,None,True,True,False,5,9
S0001,2025-01-05,15,Female,USA,11th,9,1,7.7,7.5,False,None,True,True,False,5,9
S0001,2025-01-06,15,Female,USA,11th,7,3,6.6,3.4,True,Grammarly,True,False,True,7,4
S0001,2025-01-07,15,Female,USA,11th,4,7,6.9,8.3,True,EduChat,True,False,True,5,4
S0001,2025-01-08,15,Female,USA,11th,9,1,7.2,4.6,False,None,True,True,False,5,7
S0001,2025-01-09,15,Female,USA,11th,5,4,6.8,8.0,True,Phind,False,True,False,4,8
S0001,2025-01-10,15,Female,USA,11th,9,1,6.3,7.0,False,None,False,False,False,3,6
S0001,2025-01-11,15,Female,USA,11th,9,1,3.4,5.8,True,Phind,True,True,False,4,8
S0001,2025-01-12,15,Female,USA,11th,9,1,5.5,7.2,True,ChatGPT,True,False,False,9,8
S0001,2025-01-13,15,Female,USA,11th,6,3,5.8,5.1,True,EduChat,False,False,False,8,6
S0001,2025-01-14,15,Female,USA,11th,7,2,6.4,8.0,False,None,True,False,False,3,5
S0001,2025-01-15,15,Female,USA,11th,3,7,7.8,6.9,True,Notion AI,False,False,False,9,6
S0001,2025-01-16,15,Female,USA,11th,3,6,7.4,8.6,False,None,True,True,True,3,6
S0001,2025-01-17,15,Female,USA,11th,9,1,7.6,8.9,False,None,False,False,True,5,8
S0001,2025-01-18,15,Female,USA,11th,9,1,4.8,10.0,True,Phind,False,False,False,5,7
S0001,2025-01-19,15,Female,USA,11th,6,3,7.2,4.4,True,Gemini,False,False,False,9,7
S0001,2025-01-20,15,Female,USA,11th,4,6,4.8,8.3,False,None,False,False,True,6,6
S0001,2025-01-21,15,Female,USA,11th,6,4,5.8,8.3,True,Gemini,False,True,True,8,5
S0001,2025-01-22,15,Female,USA,11th,4,5,3.8,5.8,True,EduChat,False,True,True,8,9
S0001,2025-01-23,15,Female,USA,11th,5,6,8.6,6.9,False,None,True,False,False,4,8
