iter	RMSE
0	1.949630591
1	1.842996665
2	1.744412617
3	1.653540234
4	1.57172026
5	1.492159416
6	1.421628784
7	1.357372553
8	1.299565388
9	1.245907477
10	1.198008578
11	1.154575778
12	1.114564616
13	1.077431735
14	1.044620565
15	1.015050543
16	0.9885274238
17	0.9637379595
18	0.9418611543
19	0.9223816908
20	0.9053672622
21	0.8899691563
22	0.8766597276
23	0.8647939118
24	0.8540046051
25	0.8444981453
26	0.836775021
27	0.8296178858
28	0.8232607335
29	0.817620228
30	0.8129313736
31	0.8085636182
32	0.8048642453
33	0.8016802772
34	0.7985847961
35	0.7957256443
36	0.7936170962
37	0.791389349
38	0.7894969244
39	0.7878171158
40	0.7864924079
41	0.7851711841
42	0.7841088929
43	0.7830785042
44	0.7822226264
45	0.7813774075
46	0.78066111
47	0.7800922212
48	0.7795755929
49	0.7790929354
50	0.778646421
51	0.7782372931
52	0.7778031778
53	0.7774235926
54	0.7771236597
55	0.7768355825
56	0.776550025
57	0.7763645929
58	0.7761426199
59	0.775925639
60	0.7756754892
61	0.7754842673
62	0.7753131785
63	0.7751414686
64	0.7750102024
65	0.7748749628
66	0.7746585258
67	0.7745551686
68	0.7744363028
69	0.7742844828
70	0.7741441724
71	0.774017677
72	0.7738957698
73	0.773671799
74	0.7735676688
75	0.7734671906
76	0.7733182012
77	0.7732110212
78	0.7731175583
79	0.772936084
80	0.7728122383
81	0.7726716273
82	0.7725743208
83	0.7725617701
84	0.7724817653
85	0.7723601562
86	0.772248223
87	0.77218727
88	0.772098551
89	0.771950794
90	0.7718197758
91	0.7717058156
92	0.7714948445
93	0.7714154774
94	0.7713057206
95	0.7712635812
96	0.7711811667
97	0.7710389847
98	0.7708734423
99	0.7707898118
100	0.7707278561
101	0.7705755825
102	0.770470468
103	0.7703495175
104	0.7702614346
105	0.7702323757
106	0.7700989742
107	0.7700277982
108	0.7698961065
109	0.7697906109
110	0.7697004582
111	0.7695904996
112	0.7694537261
113	0.7692912847
114	0.7692312929
115	0.7691470956
116	0.7690997729
117	0.7689819683
118	0.7688162461
119	0.7687127072
120	0.7685718958
121	0.7684889024
122	0.768433036
123	0.768338448
124	0.7682581334
125	0.7681495362
126	0.7680673243
127	0.7679685982
128	0.7678920585
129	0.7678449095
130	0.7677135041
131	0.7676451718
132	0.7674936296
133	0.7673363105
134	0.767273828
135	0.7671779337
136	0.7670106229
137	0.766904062
138	0.7668012451
139	0.7667072136
140	0.7666372354
141	0.7665832865
142	0.7664427598
143	0.766381915
144	0.7663214509
145	0.7662531417
146	0.7660803357
147	0.7659857662
148	0.7658647276
149	0.7658210087
150	0.7657167014
151	0.7656410852
152	0.7655861043
153	0.765493262
154	0.7654388475
155	0.7652832011
156	0.7652103817
157	0.7650985036
158	0.7649954903
159	0.7649509077
160	0.7648653098
161	0.7647939423
162	0.764704812
163	0.7645892916
164	0.7644450804
165	0.7643412594
166	0.7641672025
167	0.7641208728
168	0.7640190381
169	0.7639775574
170	0.7639406249
171	0.7639139443
172	0.763899512
173	0.7638293115
174	0.763716874
175	0.7636422076
176	0.7635494476
177	0.7634642524
178	0.7633819629
179	0.7632849435
180	0.7632604689
181	0.7631621195
182	0.7630960977
183	0.7630421823
184	0.7630135214
185	0.7629472376
186	0.7628508766
187	0.7627789369
