iter	Passed	Remaining
0	176	176298
1	185	92576
2	196	65442
3	204	50964
4	213	42434
5	226	37524
6	233	33184
7	248	30828
8	256	28189
9	262	26026
10	272	24489
11	278	22969
12	285	21694
13	293	20692
14	299	19695
15	305	18803
16	311	18007
17	319	17431
18	324	16779
19	330	16205
20	339	15824
21	345	15360
22	351	14922
23	357	14521
24	366	14293
25	372	13957
26	378	13651
27	386	13411
28	392	13139
29	399	12913
30	406	12707
31	418	12649
32	425	12465
33	431	12252
34	441	12159
35	446	11960
36	451	11741
37	460	11649
38	466	11506
39	473	11370
40	484	11336
41	491	11203
42	497	11078
43	508	11040
44	515	10939
45	522	10832
46	531	10786
47	539	10693
48	544	10563
49	548	10422
50	557	10378
51	563	10280
52	570	10190
53	579	10147
54	585	10057
55	591	9964
56	596	9872
57	606	9845
58	612	9772
59	618	9690
60	627	9655
61	634	9592
62	640	9522
63	646	9451
64	656	9439
65	662	9370
66	667	9300
67	675	9259
68	681	9193
69	686	9126
70	692	9062
71	701	9037
72	707	8980
73	712	8920
74	718	8864
75	726	8837
76	732	8780
77	738	8725
78	745	8685
79	752	8649
80	758	8602
81	763	8552
82	772	8529
83	775	8459
84	781	8409
85	786	8363
86	794	8337
87	800	8294
88	806	8252
89	811	8207
90	822	8212
91	829	8184
92	835	8150
93	844	8136
94	849	8097
95	855	8054
96	861	8015
97	880	8107
98	897	8169
99	905	8151
100	918	8177
101	932	8207
102	942	8210
103	950	8185
104	955	8148
105	961	8107
106	975	8142
107	982	8110
108	993	8124
109	1001	8105
110	1008	8077
111	1018	8071
112	1024	8044
113	1032	8021
114	1041	8015
115	1050	8004
116	1059	7997
117	1071	8008
118	1078	7984
119	1093	8018
120	1100	7994
121	1105	7958
122	1113	7940
123	1119	7909
124	1125	7876
125	1130	7843
126	1138	7826
127	1144	7794
128	1149	7762
129	1155	7730
130	1163	7717
131	1169	7688
132	1175	7659
133	1180	7630
134	1190	7628
135	1196	7598
136	1201	7570
137	1210	7559
138	1218	7545
139	1225	7526
140	1233	7517
141	1240	7497
142	1249	7487
143	1264	7519
144	1273	7506
145	1294	7573
146	1307	7587
147	1315	7573
148	1324	7562
149	1335	7569
150	1343	7553
151	1351	7542
152	1362	7541
153	1369	7524
154	1381	7531
155	1389	7515
156	1398	7507
157	1414	7537
158	1422	7524
159	1433	7523
160	1439	7498
161	1445	7475
162	1453	7462
163	1458	7436
164	1464	7413
165	1470	7387
166	1478	7374
167	1483	7347
168	1489	7322
169	1494	7297
170	1501	7279
171	1507	7257
172	1512	7231
173	1517	7206
174	1525	7193
175	1531	7169
176	1536	7144
177	1542	7121
178	1550	7112
179	1556	7088
180	1561	7063
181	1566	7040
182	1574	7027
183	1579	7003
184	1585	6985
185	1590	6961
186	1598	6948
187	1603	6926
188	1609	6906
189	1615	6885
190	1622	6872
191	1628	6854
192	1633	6831
193	1639	6809
194	1647	6799
195	1652	6778
196	1658	6759
197	1665	6746
198	1676	6749
199	1683	6733
200	1689	6715
201	1698	6708
202	1704	6691
203	1710	6673
204	1715	6653
205	1723	6643
206	1728	6623
207	1734	6606
208	1743	6597
209	1749	6580
210	1755	6562
211	1761	6545
212	1771	6544
213	1777	6529
214	1784	6516
215	1794	6514
216	1800	6495
217	1805	6476
218	1810	6457
219	1820	6455
220	1826	6439
221	1832	6421
222	1839	6408
223	1846	6396
224	1852	6380
225	1858	6363
226	1865	6352
227	1870	6333
228	1876	6318
229	1882	6301
230	1889	6291
231	1894	6272
232	1900	6254
233	1906	6240
234	1915	6236
235	1921	6220
236	1926	6201
237	1931	6183
238	1939	6175
239	1944	6158
240	1950	6142
241	1955	6126
242	1963	6116
243	1969	6101
244	1974	6085
245	1982	6076
246	1988	6061
247	1993	6044
248	1999	6029
249	2004	6013
250	2010	6000
251	2016	5985
252	2022	5970
253	2031	5965
254	2038	5954
255	2043	5939
256	2049	5923
257	2057	5916
258	2063	5902
259	2069	5889
260	2077	5883
261	2083	5868
262	2088	5852
263	2094	5838
264	2099	5823
265	2105	5810
266	2111	5795
267	2116	5780
268	2121	5764
269	2130	5760
270	2135	5745
271	2141	5731
272	2149	5722
273	2154	5708
274	2159	5693
275	2164	5678
276	2172	5669
277	2178	5657
278	2184	5644
279	2189	5630
280	2197	5622
281	2202	5608
282	2208	5595
283	2214	5581
284	2221	5572
285	2227	5561
286	2233	5547
287	2239	5536
288	2247	5528
289	2253	5516
290	2258	5503
291	2263	5488
292	2273	5485
293	2279	5473
294	2284	5459
295	2289	5445
296	2297	5438
297	2302	5424
298	2307	5410
299	2313	5397
300	2321	5390
301	2327	5378
302	2334	5370
303	2341	5361
304	2347	5348
305	2352	5336
306	2358	5323
307	2366	5316
308	2371	5302
309	2377	5292
310	2383	5280
311	2393	5277
312	2399	5265
313	2405	5255
314	2414	5251
315	2421	5241
316	2429	5235
317	2443	5240
318	2453	5237
319	2459	5227
320	2470	5226
321	2484	5231
322	2496	5232
323	2502	5221
324	2514	5222
325	2523	5217
326	2531	5209
327	2545	5214
328	2553	5208
329	2562	5203
330	2569	5194
331	2576	5183
332	2585	5177
333	2590	5166
334	2596	5154
335	2601	5141
336	2609	5134
337	2615	5122
338	2620	5110
339	2626	5097
340	2636	5094
341	2641	5083
342	2647	5071
343	2653	5059
344	2661	5053
345	2667	5042
346	2673	5031
347	2680	5022
348	2686	5011
349	2692	4999
350	2697	4987
351	2705	4980
352	2711	4968
353	2716	4957
354	2722	4946
355	2729	4937
356	2735	4927
357	2741	4915
358	2746	4904
359	2755	4899
360	2762	4890
361	2768	4879
362	2774	4868
363	2782	4862
364	2788	4851
365	2793	4839
366	2802	4833
367	2807	4822
368	2813	4811
369	2819	4800
370	2827	4793
371	2832	4781
372	2837	4770
373	2842	4758
374	2851	4751
375	2858	4744
376	2864	4733
377	2869	4722
378	2879	4718
379	2886	4709
380	2892	4699
381	2901	4693
382	2906	4682
383	2911	4671
384	2917	4661
385	2924	4652
386	2930	4641
387	2935	4629
388	2940	4618
389	2948	4612
390	2955	4602
391	2960	4591
392	2966	4581
393	2974	4575
394	2981	4566
395	2988	4557
396	2997	4552
397	3003	4543
398	3009	4532
399	3014	4521
400	3022	4515
401	3029	4506
402	3034	4495
403	3040	4485
404	3049	4479
405	3054	4468
406	3059	4457
407	3063	4445
408	3071	4438
409	3077	4428
410	3082	4417
411	3087	4406
412	3095	4399
413	3101	4389
414	3106	4379
415	3111	4368
416	3120	4362
417	3125	4352
418	3131	4341
419	3136	4331
420	3145	4325
421	3151	4316
422	3156	4306
423	3164	4299
424	3171	4290
425	3176	4280
426	3182	4270
427	3190	4263
428	3195	4253
429	3200	4243
430	3205	4232
431	3214	4226
432	3219	4215
433	3225	4205
434	3230	4195
435	3239	4189
436	3244	4180
437	3249	4169
438	3255	4160
439	3263	4153
440	3270	4145
441	3277	4137
442	3287	4132
443	3293	4124
444	3299	4114
445	3306	4106
446	3313	4099
447	3318	4089
448	3323	4079
449	3329	4069
450	3337	4062
451	3343	4053
452	3350	4045
453	3357	4037
454	3364	4029
455	3369	4019
456	3375	4010
457	3383	4004
458	3388	3994
459	3394	3985
460	3400	3975
461	3407	3968
462	3413	3958
463	3419	3949
464	3426	3941
465	3433	3934
466	3439	3925
467	3444	3915
468	3450	3906
469	3459	3901
470	3465	3892
471	3470	3882
472	3479	3876
473	3485	3867
474	3490	3858
475	3495	3848
476	3504	3842
477	3509	3832
478	3517	3825
479	3524	3817
480	3531	3810
481	3537	3801
482	3543	3793
483	3552	3787
484	3560	3781
485	3568	3773
486	3584	3776
487	3593	3770
488	3605	3768
489	3612	3759
490	3624	3757
491	3631	3749
492	3638	3741
493	3649	3738
494	3656	3729
495	3663	3722
496	3674	3718
497	3687	3717
498	3699	3714
499	3705	3705
500	3712	3697
501	3722	3693
502	3729	3684
503	3734	3675
504	3740	3666
505	3748	3659
506	3754	3650
507	3760	3641
508	3765	3632
509	3775	3627
510	3780	3618
511	3786	3609
512	3794	3602
513	3800	3593
514	3806	3584
515	3811	3575
516	3820	3568
517	3825	3559
518	3831	3550
519	3837	3541
520	3845	3535
521	3850	3526
522	3856	3516
523	3861	3507
524	3870	3502
525	3876	3493
526	3882	3484
527	3889	3477
528	3894	3467
529	3900	3458
530	3906	3450
531	3914	3443
532	3919	3434
533	3925	3425
534	3930	3416
535	3938	3409
536	3943	3400
537	3949	3391
538	3954	3382
539	3963	3376
540	3968	3367
541	3974	3358
542	3979	3348
543	3987	3342
544	3993	3334
545	3999	3325
546	4004	3316
547	4012	3309
548	4018	3301
549	4023	3292
550	4029	3283
551	4036	3276
552	4042	3267
553	4047	3258
554	4053	3250
555	4061	3243
556	4067	3235
557	4073	3226
558	4078	3217
559	4090	3213
560	4097	3206
561	4103	3198
562	4112	3191
563	4117	3182
564	4122	3173
565	4127	3165
566	4135	3157
567	4140	3149
568	4145	3140
569	4151	3131
570	4158	3124
571	4163	3115
572	4168	3106
573	4174	3098
574	4183	3092
575	4190	3084
576	4195	3075
577	4204	3069
578	4210	3061
579	4215	3052
580	4221	3044
581	4229	3037
582	4235	3029
583	4240	3020
584	4246	3012
585	4254	3005
586	4259	2996
587	4265	2988
588	4270	2980
589	4281	2974
590	4287	2966
591	4292	2958
592	4300	2951
593	4306	2943
594	4311	2934
595	4317	2926
596	4326	2920
597	4333	2913
598	4338	2904
599	4343	2895
600	4352	2889
601	4357	2881
602	4363	2872
603	4369	2864
604	4377	2858
605	4383	2849
606	4389	2841
607	4397	2835
608	4402	2826
609	4407	2818
610	4413	2809
611	4421	2803
612	4426	2794
613	4432	2786
614	4437	2778
615	4446	2771
616	4452	2763
617	4457	2755
618	4463	2747
619	4470	2740
620	4476	2732
621	4482	2724
622	4488	2715
623	4498	2710
624	4506	2703
625	4512	2695
626	4519	2688
627	4525	2680
628	4531	2672
629	4536	2664
630	4545	2657
631	4551	2650
