iter	Passed	Remaining
0	144	144031
1	146	72937
2	148	49227
3	150	37450
4	152	30382
5	154	25653
6	157	22275
7	159	19731
8	161	17751
9	163	16162
10	165	14900
11	167	13817
12	170	12920
13	172	12140
14	174	11455
15	176	10854
16	178	10318
17	180	9851
18	182	9434
19	184	9055
20	186	8706
21	188	8389
22	190	8101
23	192	7835
24	194	7590
25	197	7383
26	199	7188
27	201	6995
28	203	6813
29	205	6642
30	207	6484
31	209	6337
32	211	6200
33	214	6090
34	218	6036
35	221	5932
36	223	5818
37	226	5725
38	230	5678
39	233	5594
40	235	5510
41	238	5435
42	241	5365
43	245	5325
44	247	5248
45	249	5171
46	251	5099
47	253	5033
48	256	4970
49	258	4911
50	261	4859
51	263	4797
52	265	4738
53	267	4681
54	269	4624
55	271	4574
56	273	4522
57	275	4479
58	277	4430
59	279	4384
60	281	4338
61	283	4293
62	285	4251
63	287	4209
64	289	4169
65	292	4132
66	294	4094
67	295	4055
68	297	4019
69	299	3983
70	301	3950
71	303	3917
72	305	3885
73	308	3860
74	310	3829
75	312	3799
76	314	3769
77	316	3740
78	318	3712
79	320	3684
80	323	3665
81	325	3640
82	327	3615
83	328	3583
84	330	3558
85	332	3534
86	334	3509
87	336	3486
88	338	3469
89	341	3448
90	343	3426
91	345	3405
92	347	3385
93	349	3364
94	350	3343
95	352	3323
96	355	3312
97	357	3294
98	360	3276
99	362	3259
100	364	3240
101	366	3222
102	368	3205
103	370	3189
104	372	3173
105	374	3156
106	376	3140
107	378	3123
108	380	3108
109	382	3092
110	384	3076
111	386	3062
112	388	3049
113	390	3035
114	392	3022
115	394	3009
116	397	2996
117	399	2984
118	401	2970
119	403	2960
120	405	2948
121	407	2935
122	409	2922
123	411	2909
124	413	2896
125	415	2884
126	417	2872
127	420	2867
128	423	2857
129	425	2846
130	427	2835
131	429	2825
132	431	2814
133	433	2802
134	436	2796
135	438	2785
136	440	2775
137	442	2764
138	444	2753
139	446	2743
140	448	2731
141	450	2721
142	452	2713
143	454	2702
144	456	2692
145	458	2682
146	460	2672
147	462	2661
148	464	2652
149	466	2642
150	468	2636
151	470	2626
152	472	2617
153	474	2607
154	476	2598
155	478	2589
156	480	2580
157	482	2573
158	485	2566
159	487	2557
160	489	2548
161	490	2539
162	492	2531
163	494	2522
164	496	2514
165	498	2506
166	501	2500
167	503	2491
168	505	2483
169	506	2474
170	508	2466
171	510	2458
172	512	2450
173	514	2442
174	516	2436
175	518	2429
176	520	2421
177	522	2413
178	524	2406
179	526	2399
180	528	2392
181	530	2384
182	532	2378
183	534	2371
184	536	2364
185	539	2359
186	541	2353
187	543	2346
188	545	2340
189	548	2336
190	550	2329
191	551	2322
192	554	2317
193	556	2311
194	558	2305
195	560	2299
196	562	2293
197	565	2289
198	567	2282
199	569	2277
200	571	2271
201	573	2265
202	575	2259
203	577	2252
204	579	2248
205	581	2242
206	584	2237
207	586	2231
208	588	2225
209	589	2219
210	591	2213
211	593	2207
212	596	2203
213	598	2198
214	600	2192
215	602	2186
216	604	2180
217	606	2174
218	607	2168
219	609	2162
220	612	2158
221	614	2153
222	616	2148
223	618	2142
224	620	2136
225	622	2131
226	624	2125
227	626	2119
228	628	2116
229	630	2111
230	632	2106
231	634	2100
232	636	2095
233	638	2089
234	640	2084
235	642	2078
236	644	2075
237	646	2070
238	648	2065
239	650	2060
240	652	2055
241	654	2050
242	656	2045
243	658	2040
244	660	2036
245	662	2031
246	664	2027
247	666	2022
248	668	2017
249	670	2012
250	672	2007
251	674	2002
252	677	1999
253	679	1994
254	681	1990
255	683	1985
256	685	1980
257	687	1976
258	689	1971
259	691	1966
260	693	1963
261	695	1958
262	697	1953
263	699	1948
264	700	1943
265	702	1939
266	704	1934
267	706	1930
268	708	1926
269	710	1922
270	713	1918
271	714	1913
272	716	1909
273	718	1904
274	720	1899
275	722	1895
276	724	1892
277	726	1887
278	728	1883
279	730	1879
280	732	1874
281	734	1871
282	736	1867
283	738	1862
284	741	1859
285	743	1855
286	745	1851
287	747	1847
288	749	1843
289	751	1839
290	753	1834
291	754	1830
292	757	1828
293	759	1823
294	761	1819
295	763	1815
296	765	1811
297	767	1806
298	768	1802
299	770	1798
300	773	1796
301	775	1792
302	777	1788
303	779	1784
304	781	1780
305	783	1776
306	785	1772
307	787	1768
308	789	1765
309	791	1761
310	793	1757
311	795	1753
312	797	1749
313	799	1745
314	801	1741
315	802	1738
316	805	1734
317	807	1730
318	809	1727
319	811	1723
320	812	1719
321	814	1715
322	816	1712
323	818	1708
324	821	1705
325	823	1702
326	825	1698
327	827	1694
328	829	1691
329	831	1687
330	833	1683
331	835	1680
332	837	1678
333	840	1674
334	841	1671
335	843	1667
336	845	1664
337	847	1660
338	849	1656
339	851	1653
340	854	1650
341	856	1647
342	858	1644
343	860	1640
344	862	1637
345	864	1633
346	866	1630
347	868	1626
348	870	1623
349	872	1620
350	874	1616
351	876	1613
352	878	1609
353	880	1606
354	882	1602
355	884	1599
356	886	1596
357	888	1593
358	890	1589
359	892	1586
360	894	1583
361	896	1579
362	899	1577
363	901	1575
364	904	1572
365	906	1570
366	908	1567
367	910	1563
368	912	1560
369	914	1557
370	917	1555
371	919	1552
372	921	1548
373	923	1545
374	925	1542
375	927	1539
376	929	1536
377	931	1532
378	934	1530
379	936	1527
380	938	1524
381	940	1520
382	942	1517
383	944	1514
384	946	1511
385	948	1508
386	950	1506
387	953	1503
388	955	1501
389	957	1498
390	960	1495
391	962	1492
392	964	1488
393	966	1486
394	968	1483
395	970	1480
396	972	1477
397	974	1474
398	976	1471
399	978	1468
400	980	1465
401	983	1462
402	985	1459
403	987	1456
404	989	1453
405	991	1449
406	992	1446
407	994	1443
408	997	1440
409	999	1438
410	1001	1435
411	1003	1432
412	1005	1429
413	1007	1426
414	1009	1423
415	1011	1420
416	1014	1417
417	1016	1414
418	1018	1412
419	1020	1409
420	1022	1406
421	1024	1403
422	1026	1400
423	1028	1397
424	1031	1395
425	1033	1392
426	1035	1390
427	1038	1387
428	1040	1384
429	1042	1382
430	1044	1379
431	1047	1377
432	1050	1375
433	1052	1372
434	1054	1369
435	1056	1366
436	1058	1363
437	1060	1361
438	1063	1358
439	1065	1356
440	1068	1354
441	1070	1351
442	1073	1349
443	1075	1346
444	1078	1344
445	1080	1341
446	1082	1338
447	1084	1335
448	1086	1333
449	1088	1330
450	1090	1327
451	1093	1325
452	1096	1323
453	1098	1320
454	1100	1317
455	1102	1314
456	1104	1311
457	1106	1309
458	1108	1306
459	1111	1304
460	1113	1302
461	1115	1299
462	1118	1296
463	1120	1294
464	1122	1291
465	1125	1289
466	1127	1286
467	1129	1284
468	1132	1281
469	1134	1279
470	1136	1276
471	1138	1273
472	1140	1271
473	1143	1268
474	1145	1265
475	1147	1262
476	1149	1260
477	1151	1257
478	1153	1254
479	1155	1252
480	1158	1249
481	1160	1247
482	1162	1244
483	1164	1241
484	1167	1239
485	1169	1236
486	1171	1233
487	1173	1231
488	1175	1228
489	1177	1225
490	1179	1222
491	1181	1220
492	1183	1217
493	1185	1214
494	1187	1211
495	1190	1209
496	1192	1206
497	1194	1203
498	1196	1201
499	1198	1198
500	1200	1195
501	1202	1192
502	1204	1189
503	1206	1187
504	1209	1185
505	1211	1182
506	1213	1179
507	1215	1176
508	1216	1173
509	1218	1171
510	1221	1168
511	1223	1165
512	1225	1163
513	1227	1160
514	1229	1157
515	1231	1154
516	1233	1152
517	1235	1149
518	1237	1146
519	1239	1144
520	1241	1141
521	1243	1138
522	1245	1135
523	1247	1132
524	1249	1130
525	1251	1127
